,debt_tir,debt_mordad,debt_shahrivar,Target
0,214964,266297,361358,0
1,0,294073,0,0
2,2403877,0,0,1
3,0,918940,0,0
4,350689,1130125,1336251,2
5,0,0,0,0
6,0,166013,0,0
7,0,0,0,0
8,0,0,0,0
9,688977,1082391,1647370,2
10,672250,790518,907985,2
11,0,0,0,0
12,192062,330694,0,0
13,765878,0,0,0
14,0,227280,619980,0
15,0,0,0,0
16,0,0,0,0
17,0,129156,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,1634055,0,1264677,1
22,0,0,0,0
23,0,1117550,604436,2
24,335629,571752,0,0
25,1452830,3930238,0,1
26,501165,1099622,961085,2
27,262700,0,0,0
28,405922,1134151,0,0
29,171621,310293,0,0
30,225795,1808556,2386886,2
31,887678,0,71874,0
32,0,0,0,0
33,0,0,0,0
34,0,0,62179,0
35,1170451,1341959,0,1
36,0,2003471,491271,2
37,584150,777284,773167,2
38,781997,1377843,1697649,2
39,244180,0,0,0
40,0,0,0,0
41,165325,0,0,0
42,0,0,0,0
43,0,413545,0,0
44,0,0,0,0
45,253946,389034,361280,0
46,0,1271569,0,0
47,750007,0,0,0
48,1367739,0,187225,1
49,0,168287,0,0
50,830509,0,0,0
51,576124,0,35520,0
52,258692,503315,0,0
53,426623,0,46900,0
54,409456,607301,752259,2
55,1438244,0,28656,1
56,744633,1359290,0,1
57,0,614677,0,0
58,0,107945,32079,0
59,0,304920,0,0
60,0,0,599739,0
61,0,0,0,0
62,0,0,0,0
63,0,280593,229364,0
64,362145,642939,548536,0
65,0,0,0,0
66,534066,1189669,0,0
67,0,0,0,0
68,0,0,16708,0
69,171114,0,24177,0
70,1383241,2080096,0,1
71,681934,0,0,0
72,0,0,0,0
