,Con_tir,Con_mordad,Con_shahrivar,Codes,outss
0,0.012513746,0.016533164,0.021215203,11137188,1
1,0.071795646,0.095304707,0.456720934,1132605,1
2,0.294347642,0.763699111,0.428732575,1111252,-1
3,0.224083884,0.193053883,0,1166461,1
4,0.190007677,0.035849771,0.128070218,1126630,1
5,0.103177886,0.059113876,0.04635504,1174025,1
6,0.040517253,0.027900856,0.035826776,11101394,1
7,0.082477416,0.054875058,0.071507783,11101393,1
8,0.359984047,0.364149464,0.166317592,11101395,-1
9,0.095904834,0.098262071,0.019362432,11117265,1
10,0.028830883,0.020430053,0.018017949,1175346,1
11,0.22807352,0.022512416,0.258870171,1164970,1
12,0.033795134,0.014806123,0.021899763,11107146,1
13,0.07054215,0.047193983,0.038315126,11114562,1
14,0.055432923,0.068299026,0.039696858,1181587,1
15,0.158453818,0.046026447,0.181567678,1177534,1
16,0.25910643,0.020330395,0.033209375,1174154,1
17,0.031599689,0.029161962,0.02403586,11134754,1
18,0.07324343,0.060744565,0.140321614,11133730,1
19,1,1,1,1111019,1
20,0.117156725,0.345056173,0.042370572,11153590,1
21,0.091106594,0.219817988,0.611514511,11121394,-1
22,0.205096183,0.092979549,0.053073056,1165224,1
23,0.272333464,0,0.588699949,11127132,-1
24,0.057561086,0.096435546,0.079433898,11152622,1
25,0.145889366,0,0.2397195,1184031,1
26,0.043636609,0.007873606,0.158179422,1137295,1
27,0.177524646,0.048101332,0.022675245,11148247,1
28,0.033804885,0.024084146,0.025769844,11123472,1
29,0.355360594,0.131440231,0.291519345,112353,-1
30,0.385838914,0.100584098,0.328890341,11135425,1
31,0.051513495,0.012501661,0.034218324,111300,1
32,0.423953757,0.056879157,0.01918176,11153471,1
33,0.110277858,0.00852216,0.229974638,1183097,1
34,0.04632887,0.010787141,0.077126514,11145474,1
35,0.041809509,0.028281745,0.138127737,11132019,1
36,0.488365919,0.085360738,0.015055922,11106092,1
37,0.047081406,0,0.024956819,11143559,1
38,0.145252867,0.055621182,0.091527205,113483,1
39,0.369411103,0.171218718,0.109712922,111730,-1
40,0.076417148,0.059778431,0.008212374,11132720,1
41,0.052808676,0.03581029,0.256077964,11158700,1
42,0.048229834,0.075011183,0.029749619,11154734,1
43,0.048229834,0.104194712,0.029665149,11147517,1
44,0.100832031,0.034940508,0.492544191,11130384,1
45,0.052823058,0.063775498,0.009687669,1156518,1
46,0.032931193,0,0.152906491,1114187,1
47,0,0.032480561,0.40665918,11121431,1
48,0.040910708,0.016109665,0.03297239,1190360,1
49,0.047081406,0,0.043423516,11135347,1
50,0.022913468,0.006157174,0.048092544,1197517,1
51,0.059633181,0.04047713,0.010950321,11125522,1
52,0.073281459,0.008116401,0.213358365,1162603,1
53,0.048229834,0.025211332,0.165536536,11108306,1
54,0.096100586,0.00490372,0.265082832,11132165,1
55,0.149838535,0,0.057729472,1197933,1
56,0.149838535,0,0.185545107,1129264,1
57,0.048229834,0,0.169215094,1111723,1
58,0.074255344,0,0.18808537,11145218,1
59,0.111735394,0.104357676,0.217248684,1132872,1
60,0.524993241,0.098139108,0.13396201,1184566,1
61,0.162587281,0,0.037964633,1190985,1
62,0.068450797,0,0.070754884,11127025,1
63,0.068450797,0,0.037068311,11158314,1
64,0.094218149,0.473672265,0.067812801,11148107,-1
65,0.159820181,0.037224795,0.045027569,11119515,1
66,0.230567347,0.204078601,0.010282186,11130829,1
67,0.052012991,0.002840662,0.034134147,11105081,1
68,0.046266951,0.004221078,0.041558427,1122681,1
69,0.048229834,0,0.095643365,113959,1
70,0.169876423,0.010636525,0.146370908,1177886,1
71,0.345539597,0.064617105,0.022936868,11105388,1
72,0.073358249,0.00490372,0.083852155,11114846,1
